feature,importance,coefficient
feature_87,0.11567891509136201,-0.11567891509136201
feature_644,0.11567891509136179,-0.11567891509136179
feature_140,0.11548687157141206,0.11548687157141206
feature_416,0.11543168541286404,-0.11543168541286404
feature_210,0.11515834982532168,0.11515834982532168
feature_351,0.11427086609431539,0.11427086609431539
feature_579,0.11402754477603154,0.11402754477603154
feature_484,0.11402754477602987,0.11402754477602987
feature_22,0.11402754477602686,0.11402754477602686
feature_349,0.1137997911690287,0.1137997911690287
feature_287,0.11346976962794474,0.11346976962794474
feature_683,0.11258352514585132,0.11258352514585132
feature_240,0.11210198082693006,0.11210198082693006
feature_179,0.11206027019610645,0.11206027019610645
feature_175,0.11167463430199223,-0.11167463430199223
feature_156,0.11131718991680724,-0.11131718991680724
feature_353,0.11074996391983422,0.11074996391983422
feature_248,0.10997983318823619,-0.10997983318823619
feature_320,0.10980809040432189,-0.10980809040432189
feature_0,0.10974832798677839,0.10974832798677839
feature_9,0.10974832798677014,-0.10974832798677014
feature_108,0.10941325995374274,-0.10941325995374274
feature_682,0.1094132599537361,-0.1094132599537361
feature_604,0.10941325995373558,-0.10941325995373558
feature_712,0.10941325995373556,-0.10941325995373556
feature_474,0.10941325995373549,-0.10941325995373549
feature_47,0.10941325995373298,-0.10941325995373298
feature_385,0.10801323991603776,-0.10801323991603776
feature_189,0.1079675130957966,-0.1079675130957966
feature_414,0.1076266955835038,-0.1076266955835038
feature_289,0.10665391723854888,0.10665391723854888
feature_690,0.10516347114113596,-0.10516347114113596
feature_342,0.10444282189032307,0.10444282189032307
feature_255,0.10436717928580665,0.10436717928580665
feature_303,0.10419411453369468,-0.10419411453369468
feature_20,0.10404090272011388,0.10404090272011388
feature_475,0.10404090272011224,0.10404090272011224
feature_577,0.10404090272011132,0.10404090272011132
feature_316,0.10321520717418964,0.10321520717418964
feature_147,0.10111692797948749,0.10111692797948749
feature_384,0.10064808577915212,-0.10064808577915212
feature_279,0.10051211257377693,-0.10051211257377693
feature_137,0.10004117368547931,0.10004117368547931
feature_97,0.09996949995756695,0.09996949995756695
feature_654,0.09996949995756498,0.09996949995756498
feature_702,0.0999694999575648,0.0999694999575648
feature_468,0.09996949995756393,0.09996949995756393
feature_413,0.09832093758679944,-0.09832093758679944
feature_389,0.09736848459968724,-0.09736848459968724
feature_321,0.09623271524463904,0.09623271524463904
feature_145,0.0961826814642302,-0.0961826814642302
feature_571,0.09553350588436123,0.09553350588436123
feature_536,0.0955335058843612,0.0955335058843612
feature_665,0.0955335058843612,0.0955335058843612
feature_14,0.09553350588435765,0.09553350588435765
feature_344,0.09486359531456716,0.09486359531456716
feature_121,0.09297991880834716,0.09297991880834716
feature_350,0.09187107383455648,0.09187107383455648
feature_95,0.0914302322638154,0.0914302322638154
feature_652,0.0914302322638154,0.0914302322638154
feature_526,0.09143023226381437,0.09143023226381437
feature_66,0.0888245593265454,0.0888245593265454
feature_493,0.08882455932654275,0.08882455932654275
feature_623,0.08882455932654269,0.08882455932654269
feature_181,0.0881999280022936,-0.0881999280022936
feature_139,0.08814890944473291,-0.08814890944473291
feature_238,0.08810969796422033,-0.08810969796422033
feature_142,0.08797916350021245,0.08797916350021245
feature_266,0.08746051611282106,0.08746051611282106
feature_28,0.08660067839620363,0.08660067839620363
feature_466,0.08660067839620249,0.08660067839620249
feature_585,0.0866006783962024,0.0866006783962024
feature_694,0.08616156403048704,0.08616156403048704
feature_347,0.08612414018676415,0.08612414018676415
feature_361,0.08542881110169628,0.08542881110169628
feature_173,0.08507414810733185,-0.08507414810733185
feature_201,0.0846129500018408,-0.0846129500018408
feature_346,0.08446807883264212,0.08446807883264212
feature_410,0.08436659325812557,-0.08436659325812557
feature_191,0.08381731299301537,-0.08381731299301537
feature_595,0.08304018702441211,0.08304018702441211
feature_488,0.08304018702441211,0.08304018702441211
feature_38,0.08304018702440934,0.08304018702440934
feature_352,0.08269378177523086,0.08269378177523086
feature_578,0.08267685279678356,-0.08267685279678356
feature_483,0.0826768527967834,-0.0826768527967834
